location_id,lat,lon,traffic_volume,traffic_source,distance_to_nearest_substation_m,charger_count_nearby,road_density,ev_penetration_proxy
262,53.38003,-6.164585,273.94,DCC_2024_2025,143.5,0,4,0.049
264,53.386973,-6.214973,586.94,DCC_2024_2025,59.7,1,24,0.049
268,53.334358,-6.25519,63.61,DCC_2024_2025,85.1,4,100,0.049
269,53.341821,-6.252296,575.58,DCC_2024_2025,50.7,1,169,0.049
271,53.373023,-6.221667,0.0,DCC_2024_2025,40.3,0,22,0.049
272,53.344355,-6.260851,810.78,DCC_2024_2025,31.2,0,166,0.049
275,53.317252,-6.208186,0.0,DCC_2024_2025,43.8,0,31,0.049
276,53.311518,-6.24789,0.0,DCC_2024_2025,102.1,0,24,0.049
279,53.366691,-6.3136,706.28,DCC_2024_2025,128.3,0,11,0.049
280,53.336319,-6.273148,906.45,DCC_2024_2025,93.6,1,100,0.049
281,53.358265,-6.241709,0.0,DCC_2024_2025,148.0,0,49,0.049
282,53.35662,-6.244127,1140.63,DCC_2024_2025,101.2,0,45,0.049
285,53.346613,-6.263277,0.27,DCC_2024_2025,53.9,0,163,0.049
288,53.344709,-6.252177,971.74,DCC_2024_2025,64.3,1,220,0.049
295,53.324053,-6.265385,1079.07,DCC_2024_2025,102.5,1,40,0.049
297,53.330706,-6.26436,0.0,DCC_2024_2025,71.8,1,80,0.049
298,53.375391,-6.264941,366.79,DCC_2024_2025,216.4,0,52,0.049
301,53.338596,-6.255392,626.65,DCC_2024_2025,10.3,2,111,0.049
302,53.322155,-6.247637,761.47,DCC_2024_2025,164.8,1,58,0.049
303,53.332733,-6.21596,0.0,DCC_2024_2025,79.9,0,18,0.049
304,53.337615,-6.299358,282.81,DCC_2024_2025,87.8,0,59,0.049
305,53.343029,-6.264531,483.47,DCC_2024_2025,49.3,1,140,0.049
308,53.320811,-6.292805,242.25,DCC_2024_2025,112.9,1,21,0.049
309,53.324541,-6.295814,0.0,DCC_2024_2025,62.6,0,18,0.049
311,53.30182,-6.297239,782.34,DCC_2024_2025,77.7,0,27,0.049
312,53.314615,-6.28258,510.55,DCC_2024_2025,183.4,0,22,0.049
322,53.33102,-6.345645,0.07,DCC_2024_2025,37.5,0,19,0.049
323,53.386883,-6.200782,0.0,DCC_2024_2025,51.3,0,26,0.049
324,53.340559,-6.270032,427.81,DCC_2024_2025,95.1,1,170,0.049
325,53.32766,-6.309291,0.0,DCC_2024_2025,108.4,0,10,0.049
326,53.328281,-6.305983,0.0,DCC_2024_2025,16.7,1,6,0.049
327,53.377704,-6.287545,1293.26,DCC_2024_2025,39.3,0,35,0.049
328,53.343782,-6.259236,345.43,DCC_2024_2025,50.1,0,165,0.049
330,53.328297,-6.258168,0.05,DCC_2024_2025,39.2,2,66,0.049
331,53.378414,-6.213154,1099.63,DCC_2024_2025,121.4,0,10,0.049
332,53.379,-6.247005,0.0,DCC_2024_2025,34.2,0,22,0.049
333,53.335896,-6.312535,411.79,DCC_2024_2025,22.9,0,21,0.049
334,53.361779,-6.24678,250.38,DCC_2024_2025,90.1,0,25,0.049
335,53.379451,-6.27644,517.52,DCC_2024_2025,34.1,0,14,0.049
336,53.348002,-6.274762,215.53,DCC_2024_2025,75.4,1,135,0.049
340,53.382041,-6.291203,1132.75,DCC_2024_2025,17.6,1,22,0.049
342,53.319717,-6.243607,0.0,DCC_2024_2025,67.7,1,47,0.049
343,53.345781,-6.308218,413.41,DCC_2024_2025,52.8,0,79,0.049
346,53.370745,-6.253763,0.0,DCC_2024_2025,62.2,1,19,0.049
347,53.365865,-6.271247,0.0,DCC_2024_2025,58.8,1,52,0.049
348,53.343528,-6.369191,712.71,DCC_2024_2025,135.0,0,8,0.049
351,53.35067,-6.274204,950.19,DCC_2024_2025,51.9,1,103,0.049
352,53.342899,-6.257792,330.19,DCC_2024_2025,33.9,0,139,0.049
354,53.348997,-6.251606,794.84,DCC_2024_2025,55.3,1,175,0.049
355,53.348271,-6.251592,1149.74,DCC_2024_2025,104.5,1,198,0.049
356,53.34746,-6.25179,1010.06,DCC_2024_2025,37.9,1,218,0.049
360,53.339471,-6.258812,306.63,DCC_2024_2025,51.5,1,105,0.049
362,53.327822,-6.264698,0.05,DCC_2024_2025,104.3,0,51,0.049
366,53.342838,-6.27926,669.98,DCC_2024_2025,50.8,0,155,0.049
367,53.343352,-6.274926,1415.57,DCC_2024_2025,71.8,1,191,0.049
368,53.343098,-6.276149,717.38,DCC_2024_2025,71.5,0,194,0.049
369,53.343191,-6.281277,944.28,DCC_2024_2025,57.9,0,146,0.049
370,53.346254,-6.29175,692.04,DCC_2024_2025,61.8,3,120,0.049
372,53.341616,-6.319021,551.52,DCC_2024_2025,124.7,0,43,0.049
377,53.381623,-6.175712,309.59,DCC_2024_2025,96.6,1,29,0.049
378,53.308242,-6.254378,843.97,DCC_2024_2025,48.2,0,23,0.049
379,53.324865,-6.321087,1242.6,DCC_2024_2025,20.0,0,43,0.049
380,53.390795,-6.183381,535.61,DCC_2024_2025,56.3,0,4,0.049
381,53.391951,-6.205276,722.21,DCC_2024_2025,137.7,0,3,0.049
383,53.327855,-6.226933,1350.29,DCC_2024_2025,114.9,0,52,0.049
384,53.391133,-6.17868,715.29,DCC_2024_2025,217.2,0,6,0.049
386,53.394481,-6.212029,823.64,DCC_2024_2025,67.8,1,32,0.049
387,53.339915,-6.278046,0.02,DCC_2024_2025,23.2,0,143,0.049
388,53.397429,-6.219753,45.88,DCC_2024_2025,214.0,1,24,0.049
